id,detector_id,starttime,volume,speed,occupancy,countreadings,vmt,vht,delay,traveltime,resolution
14312479604,100367,2022-01-10 06:00:00-08,158,53.27,1.28,180,122.45,2.3,0.1,0.87,01:00:00
14312480830,100367,2022-01-10 07:00:00-08,237,51.32,1.86,180,183.68,3.58,0.13,0.91,01:00:00
14312482056,100367,2022-01-10 08:00:00-08,324,50.91,2.64,180,251.1,4.93,0.14,0.91,01:00:00
14312483282,100367,2022-01-10 09:00:00-08,326,51.14,2.8,180,252.65,4.94,0.13,0.91,01:00:00
14312484508,100367,2022-01-10 10:00:00-08,377,50.99,3.34,180,292.18,5.73,0.14,0.91,01:00:00
14312485734,100367,2022-01-10 11:00:00-08,360,51.68,3.02,174,279,5.4,0.12,0.9,01:00:00
14312486960,100367,2022-01-10 12:00:00-08,445,52.38,3.67,180,344.88,6.58,0.11,0.89,01:00:00
14312488186,100367,2022-01-10 13:00:00-08,458,52.51,3.56,180,354.95,6.76,0.11,0.89,01:00:00
14312489412,100367,2022-01-10 14:00:00-08,472,52.62,3.77,180,365.8,6.95,0.11,0.88,01:00:00
14312490638,100367,2022-01-10 15:00:00-08,523,52.15,3.97,180,405.33,7.77,0.12,0.89,01:00:00
14312491864,100367,2022-01-10 16:00:00-08,480,52.84,3.5,180,372,7.04,0.11,0.88,01:00:00
14312493090,100367,2022-01-10 17:00:00-08,411,51.75,2.94,180,318.53,6.16,0.12,0.9,01:00:00
14312494316,100367,2022-01-10 18:00:00-08,278,53.23,1.86,180,215.45,4.05,0.1,0.87,01:00:00
14312495542,100367,2022-01-10 19:00:00-08,241,52.77,1.6,180,186.78,3.54,0.11,0.88,01:00:00
14312496768,100367,2022-01-10 20:00:00-08,211,52.91,1.28,180,163.53,3.09,0.1,0.88,01:00:00
14312497994,100367,2022-01-10 21:00:00-08,245,53.98,1.59,180,189.88,3.52,0.09,0.86,01:00:00
14312499220,100367,2022-01-10 22:00:00-08,154,53.34,1.06,180,119.35,2.24,0.1,0.87,01:00:00
14312500446,100367,2022-01-10 23:00:00-08,84,53.69,0.6,180,65.1,1.21,0.09,0.87,01:00:00
14312501672,100367,2022-01-11 00:00:00-08,65,50.54,0.59,180,50.38,1,0.15,0.92,01:00:00
14312502898,100367,2022-01-11 01:00:00-08,40,51.77,0.37,180,31,0.6,0.12,0.9,01:00:00
